,average,p,otu_id,baseMean,log2FoldChange,pvalue,padj,relative_abund,log2FC_new,rel_abu_new,padj_new
713,0,0.001,3b237ba949f7dc62b497ba0049fbc0b8,3.59481821817126,2.80500311106207,7.03323124002225e-11,4.21910443425771e-10,0.000121437189551701,2.80500311106207,0.000121437189551701,0.001
714,0,0.001,835301f39835975657bb0662092a4b1d,3.60167199210159,2.72982266302144,6.47233808701259e-14,5.66273593529804e-13,0.000121437189551701,2.72982266302144,0.000121437189551701,0.001
715,0,0.001,db1bbdeeaf8c7bb8ce2e1f0022a88f4d,1.30679046666427,0.0840909484650209,0.844886408143944,0.857780288932871,0.000120131413319962,0.0840909484650209,0.000120131413319962,1
716,0,0.001,9577e293637d26dad6c7f41283f0d898,3.63477907827147,2.64644860913508,7.98693545213608e-10,4.19417783815703e-09,0.000118825637088223,2.64644860913508,0.000118825637088223,0.001
717,0,0.001,1298466d1458eee29df707873646d7c8,3.50003793940054,2.75836744373052,5.66720179001658e-11,3.41993310884414e-10,0.000118825637088223,2.75836744373052,0.000118825637088223,0.001
718,0,0.001,974240e01415bcea8b9236c592a597ef,3.47074607938905,2.74524901707748,5.46333119383478e-11,3.30479256545724e-10,0.000118825637088223,2.74524901707748,0.000118825637088223,0.001
719,0,0.374,89c731e76eedbe7e2ffcecea6cfcd99d,5.27153759329622,0.33835261938866,0.483990137580043,0.520199389105692,7.83465739043232e-05,0.33835261938866,7.83465739043232e-05,1
720,0,0.001,85b91e72ce2c1830a0fdde54e5d7c71b,3.46497783217213,2.74142627647926,2.44604649841192e-13,1.97914514279505e-12,0.000117519860856485,2.74142627647926,0.000117519860856485,0.001
721,0,0.013,1440c140cee388e1be7e20d3116835f3,2.03060974516049,1.31612780460887,0.000735975585741562,0.00152533956438323,0.000116214084624746,1.31612780460887,0.000116214084624746,0.01
722,0,0.527,d0338da0c23d505c289901431e25487c,5.17394656006352,0.203029634334608,0.689039351100476,0.719451286285888,7.05119165138908e-05,0.203029634334608,7.05119165138908e-05,1
723,0,0.002,40af44448e460e3b06debdd3e39bcbdd,4.32963553434866,1.8415659428313,7.87486350312116e-07,2.81237180333925e-06,0.000118825637088223,1.8415659428313,0.000118825637088223,0.001
724,0,0.007,cf42efacee8a105565a212460fb71738,3.74209582534785,2.2574806417386,1.46256124410066e-07,5.81917561873884e-07,0.000113602532161269,2.2574806417386,0.000113602532161269,0.001
725,0,0.002,1e1e73c1a34c1acc7382a94e97ac6220,3.75076423102314,2.26759930201015,5.45293173395401e-08,2.29032190852204e-07,0.000113602532161269,2.26759930201015,0.000113602532161269,0.001
726,0,0.001,fd720bee1f1769b525a2fe5130e6b392,3.56316989407756,2.57549077623588,3.57398111442839e-11,2.20679151351213e-10,0.000116214084624746,2.57549077623588,0.000116214084624746,0.001
