"","b3_RZ_1a","b3_RZ_1c","b3_RZ_2a","b3_RZ_2c","b3_RZ_3b","b3_RZ_3c","b4_RZ_1a","b4_RZ_1b","b4_RZ_2b","b4_RZ_2c","b4_RZ_3a","b4_RZ_3b","b3_RT_1a","b3_RT_1b","b3_RT_2b","b3_RT_2c","b3_RT_3a","b4_RT_1a","b4_RT_1b","b4_RT_2b","b4_RT_2c","b4_RT_3a","b4_RT_3b"
"rh_bin.9",0.0185730232929918,0.0288572282276711,0.0105070765035768,0.0180806432544052,0.0261199267239751,0.0333161771169211,0.0158331777674212,0.048820418512125,0.0325591266427329,0.0236504322840851,0.0140388575134077,0.0685473807656063,0.145377457660328,0.357799920651287,0.347703720499726,0.392291484627971,0.218834683488037,0.263920340773329,0.215261364202096,0.141183056892266,0.167549666105888,0.266117837182184,0.177372434651074
"co_bin.36",0,0,0.00553828274435428,0,0,0.0121964030514456,0.0101954924261885,0.0139288350859928,0.0168311428019018,0.00301270840948926,0.0247082083658941,0.00895217671666532,0,0.00580332196909485,0.00221883348452047,0.00260983442451343,0.00954702213899971,0.0018490829075399,0.00543893873136264,0.00864683926452059,0.00303871641521732,0.0125020866104043,0.00491616673529083
"ro_bin.47",0,0,0,0,0,0,0,0,0,0,0,0,0.00985903104970599,0.00790003249171677,0.00470435139169885,0,0.00489994587577078,0.0116498531613331,0.00964895796539308,0.0121165531741503,0.0130154891195139,0.00466913218553153,0.00478631434089504
"co_bin.66",0,0,0.00410417034251738,0,0,0.0111191972115863,0.00415367508152331,0.00855155297301057,0.00661867374083745,0,0.00674571950670087,0.0031206370856733,0,0.00271269394131193,0.00256212008983415,0.00298900661139411,0.00972597622036456,0.00560839980831866,0.00800049098703334,0.00439352766386305,0.00429675832098323,0.00509896436296596,0.0041221808850455
"co_bin.63",0.0048790108726737,0,0.00477084458722047,0,0.0105553672301129,0.00922969700656812,0.0110224895810432,0.00962664231412483,0.0115612404083633,0.00663344843916741,0.00696301467747868,0.00420808319218093,0,0.0203457210128375,0,0.00316262977581329,0.00652499627830444,0,0,0.00545732558643349,0.0017776203347794,0.00114218619215595,0.00077930404637032
"co_bin.22",0,0,0.00758510852204503,0,0.00483604665090946,0.00335394311920848,0.0038049195436974,0.00967790670572026,0.00702492992388319,0,0.00472007896789411,0.00434586968240873,0.00458179273270733,0.0047602529802768,0.00662744993048959,0.00366380908251475,0.00672098776504358,0.00394981593628071,0.00190917994419141,0.0304722005846667,0.00956711654352404,0.00614430262950149,0.00715592678919037
"co_bin.43",0,0,0,0,0,0,0,0,0,0,0,0,0.0120988546939812,0.0167824881502188,0.02634017455001,0.00580175595684191,0.00956612355865962,0.00141147800985352,0.00142282713944518,0.00315044889016109,0.00216611598413311,0.012649343587397,0.00895291106702746
"co_bin.34",0,0,0,0,0,0.0022304089575186,0.00382178227037679,0.005226929639776,0.00569794514516488,0,0.00408002338944323,0.00753589473354374,0.00289858322912025,0.00728633470346002,0.0115394318845076,0,0.0130919912591517,0.0131188971464904,0.0126585926686081,0.0320766044085261,0.0180253960589113,0.0103837515931987,0.0397346326857045
"co_bin.58",0.00981202263183181,0.0225012602827625,0.0172011960606214,0.00888114523995679,0.067908061463068,0.0225191778401072,0.0221846943379929,0.0324736208370993,0.0287910871084839,0.0510530052520734,0.030764800206056,0.0198055480425341,0.00173981247906183,0,0.00467493197885066,0.0133457214884519,0.0220065935207331,0.00338125909250856,0.012048012087778,0.00843693721045834,0.00412562335619439,0.00555415736550015,0.0048824925291565
"co_bin.54",0,0,0.00523938418096238,0,0.00463246405316487,0.0541023192583407,0.00256027393469556,0.00480252466713853,0.00299104313383313,0,0.00740394305099005,0.00348677219185789,0.0144984247045059,0.0164199136767559,0.00236112716428681,0.0187551644518929,0.00682849215124999,0.00546921820243913,0.00319932102637603,0.00651412194602315,0.00660596382841372,0.00667404186093627,0.00264292830801211
"co_bin.2",0.00928984424837406,0,0,0,0.00408290600004503,0,0.0015522127720649,0.00476439405068332,0.00233760290125069,0.00336766320609815,0,0,0.0228105341174096,0.0191099951998889,0.0209833781433594,0.0073044020170195,0.0330881376199184,0.0178928016429351,0.0373531066303746,0.0372329173968398,0.0284198736549395,0.0155722947917904,0.0142005991846309
